cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id,,,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/16/20,10/19/20,Change Research,447,lv,0.5674857,0.5674857,52,52.30621,52.30271,,71524,133962,,52.30271,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/21/20,10/19/20,SurveyMonkey,4511,lv,0.579237,0.1738205,55,53.40871,53.56802,T,71469,133907,,53.56802,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/21/20,10/18/20,SurveyMonkey,4575,lv,0,0,55,53.40871,53.58656,T,71384,133723,,53.58656,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/13/20,10/19/20,Ipsos,663,lv,0.8416644,0.7717862,51,51.76349,51.79354,,71380,133665,,51.79354,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/14/20,10/16/20,Trafalgar Group,1051,lv,0.5824856,0.5104714,47.6,49.76572,49.80662,,71365,133639,,49.80662,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/20/20,10/17/20,SurveyMonkey,4571,lv,0.0233535,0.004937,55,53.40871,53.60858,T,71302,133562,,53.60858,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/13/20,10/16/20,YouGov,1112,lv,1.349374,1.183199,51,51.32472,51.33957,,71296,133501,,51.33957,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/19/20,10/16/20,SurveyMonkey,4565,lv,0.0249168,0.0041374,55,53.40871,53.63301,T,71244,133445,,53.63301,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/18/20,10/15/20,SurveyMonkey,4513,lv,0.0266479,0.0031916,55,53.40871,53.65827,T,71183,133318,,53.65827,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/17/20,10/14/20,SurveyMonkey,4425,lv,0.0287125,0.0021877,54,52.40569,52.68435,T,71109,133168,,52.68435,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/8/20,10/11/20,Civiqs,560,lv,0.5797104,0.3893336,53,51.31366,51.33025,,71102,133105,,51.33025,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/11/20,10/13/20,Trafalgar Group,1043,lv,0.4095218,0.3083171,47.3,50.03654,50.07272,,71095,133085,,50.07272,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/16/20,10/13/20,SurveyMonkey,4414,lv,0.0321224,0.0021289,54,52.40569,52.71443,T,71015,132961,,52.71443,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/10/20,10/13/20,David Binder Research,200,lv,0.3355042,0.2528695,53,51.23432,51.24632,,71004,132878,,51.24632,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/15/20,10/12/20,SurveyMonkey,4397,lv,0.0369082,0.0020708,54,52.40569,52.74662,T,70974,132804,,52.74662,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/2/20,10/11/20,Morning Consult,1067,lv,0.9725208,0.4535352,51,51.02111,51.04996,T,70763,132372,,51.04996,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/6/20,10/11/20,Ipsos,577,lv,0.675743,0.3652632,51.5,52.26317,52.30634,,70740,132338,,52.30634,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/8/20,10/11/20,Siena College/The New York Times Upshot,789,lv,1.644302,1.104313,51,51.29075,51.29303,,70738,132335,,51.29303,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/30/20,10/8/20,Baldwin Wallace University,883,lv,0.7271249,0.2793978,49.2,49.56142,49.64008,,70722,132291,,49.64008,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/4/20,10/7/20,Redfield & Wilton Strategies,688,lv,0.7051157,0.2674038,51,52.15994,52.23015,,70711,132265,,52.23015,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/30/20,10/4/20,Marquette University Law School,700,lv,1.453999,0.3199528,47,46.62097,46.75353,,70646,132105,,46.75353,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,10/2/20,10/4/20,Change Research,442,lv,0.5270453,0.1316252,51,51.30647,51.42312,,70609,132014,,51.42312,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/29/20,10/5/20,Ipsos,601,lv,0.8194117,0.0657502,50,50.76383,51.008,,70584,131967,,51.008,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/8/20,6/30/20,SurveyMonkey,813,lv,0.5069495,0,50.57,48.97154,50.31562,,70449,131303,,50.31562,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/1/20,7/31/20,SurveyMonkey,2173,lv,0.6109986,0,50.24,48.64165,50.04093,,70399,131201,,50.04093,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/1/20,8/31/20,SurveyMonkey,1913,lv,0.6009769,0,48.38,46.7839,47.92625,,70349,131099,,47.92625,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/1/20,9/30/20,SurveyMonkey,3806,lv,0.58315,0.0085899,53.45,51.85438,52.60321,T,70297,130992,,52.60321,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/25/20,9/28/20,Trafalgar Group,1084,lv,0.4103292,0.0219059,47.2,49.93636,50.43571,,70143,130683,,50.43571,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/23/20,9/27/20,Redfield & Wilton Strategies,663,lv,0.6673684,0.0249311,48,49.16008,49.6842,,70128,130655,,49.6842,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/23/20,9/26/20,Susquehanna Polling & Research Inc.,500,lv,0.6815998,0.0324401,48,48.5016,49.04369,,70025,130437,,49.04369,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/22/20,9/25/20,Trafalgar Group,1189,lv,0.626175,0.0254036,47.7,49.86586,50.45837,,70014,130422,,50.45837,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/20/20,9/24/20,Marist College,727,lv,1.480951,0.0469896,54,53.03334,53.65413,,69996,130357,,53.65413,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/17/20,9/19/20,Garin-Hart-Yang Research Group,400,lv,0.565323,0.0059791,51,49.59569,50.28819,,69985,130330,,50.28819,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/10/20,9/21/20,YouGov,664,lv,0.959091,0,50,50.32483,51.09024,,69716,130007,,51.09024,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/8/20,9/22/20,Baldwin Wallace University,863,lv,0.7211198,0,50.3,50.66143,51.44249,,69703,129963,,51.44249,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/18/20,9/20/20,Change Research,571,lv,0.6344528,0.008916,51,51.30647,51.99409,,69686,129908,,51.99409,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/20/20,6/24/20,Ogden & Fry,825,lv,0.8871915,0,45.2,46.26186,47.54178,,69632,129821,,47.54178,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/11/20,9/16/20,Ipsos,609,lv,0.8722953,0,48,48.76335,49.5817,,69627,129813,,49.5817,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/12/20,9/16/20,Redfield & Wilton Strategies,636,lv,0.6434975,0,47,48.15895,48.95008,,69547,129565,,48.95008,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/11/20,9/15/20,Civiqs,704,rv,0.6030517,0,51,50.15419,50.98819,,69538,129547,,50.98819,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/7/20,9/16/20,Morning Consult,800,lv,0.6599868,0,51,51.02111,51.81823,T,69522,129505,,51.81823,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/6/20,9/15/20,Morning Consult,800,lv,0.0658673,0,51,51.02111,51.83012,T,69497,129460,,51.83012,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/8/20,9/13/20,ABC News/The Washington Post,605,lv,1.322618,0,52,51.45881,52.28311,,69475,129401,,52.28311,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/5/20,9/14/20,Morning Consult,809,lv,0.0667386,0,51,51.02111,51.84249,T,69471,129393,,51.84249,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/9/20,9/13/20,SSRS,816,lv,1.146129,0,52,51.29384,52.11361,,69463,129370,,52.11361,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/4/20,9/13/20,Morning Consult,774,lv,0.0644093,0,50,50.02111,50.85509,T,69445,129341,,50.85509,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/3/20,9/12/20,Morning Consult,769,lv,0.0648046,0,50,50.02111,50.86578,T,69427,129309,,50.86578,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/2/20,9/11/20,Morning Consult,797,lv,0.0684878,0,50,50.02111,50.87463,T,69426,129308,,50.87463,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/8/20,9/10/20,Siena College/The New York Times Upshot,760,lv,1.589157,0,48,48.29059,49.15805,,69419,129278,,49.15805,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/1/20,9/10/20,Morning Consult,797,lv,0.0701597,0,50,50.02111,50.88248,T,69414,129271,,50.88248,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/31/20,9/9/20,Morning Consult,816,lv,0.0742158,0,50,50.02111,50.89063,T,69404,129252,,50.89063,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/6/20,9/8/20,Emerson College,823,lv,1.410921,0,51.43,50.83644,51.69081,,69403,129251,,51.69081,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/28/20,9/8/20,Benenson Strategy Group/GS Strategy Group,1200,lv,1.880784,0,50,50.05913,50.94912,,68580,128407,,50.94912,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/30/20,9/8/20,Morning Consult,799,lv,0.0755036,0,51,51.02111,51.89597,T,68570,128393,,51.89597,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/30/20,9/3/20,Marquette University Law School,688,lv,1.431371,0,48,47.62045,48.52361,,68559,128354,,48.52361,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/4/20,9/6/20,Change Research,501,lv,0.5917647,0,50,50.30658,51.1924,,68538,128313,,51.1924,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/29/20,9/7/20,Morning Consult,791,lv,0.078165,0,51,51.02111,51.90251,T,68531,128298,,51.90251,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/30/20,9/4/20,Redfield & Wilton Strategies,670,lv,0.6829292,0,50,51.16058,52.0624,,68525,128290,,52.0624,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/28/20,9/6/20,Morning Consult,770,lv,0.0801439,0,51,51.02111,51.9068,T,68503,128248,,51.9068,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/1/20,9/2/20,Rasmussen Reports/Pulse Opinion Research,1000,lv,1.034299,0,53.09,52.14959,53.05656,,68499,128241,,53.05656,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/27/20,9/5/20,Morning Consult,763,lv,0.0853001,0,50,50.02111,50.92642,T,68496,128232,,50.92642,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,9/2/20,9/4/20,YouGov,978,lv,1.230304,0,50,50.32483,51.23524,,68495,128231,,51.23524,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/26/20,9/4/20,Morning Consult,775,lv,0.0884052,0,51,51.02111,51.95762,T,68490,128220,,51.95762,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/25/20,9/3/20,Morning Consult,797,lv,0.0928231,0,52,52.02109,52.98045,T,68488,128216,,52.98045,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/17/20,8/20/20,Hodas & Associates,600,lv,0.7015365,0,51.91,51.26319,52.34019,,68485,128206,,52.34019,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/24/20,9/2/20,Morning Consult,810,lv,0.0959245,0,52,52.02109,53.00735,T,68471,128182,,53.00735,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/23/20,9/1/20,Morning Consult,809,lv,0.0966802,0,52,52.02109,53.01941,T,68457,128143,,53.01941,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/22/20,8/31/20,Morning Consult,819,lv,0.0993502,0,53,53.02106,54.02815,T,68456,128142,,54.02815,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/20/20,8/29/20,Morning Consult,797,lv,0.1014913,0,51,51.02111,52.04799,T,68455,128141,,52.04799,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/19/20,8/28/20,Morning Consult,797,lv,0.1047114,0,51,51.02111,52.05894,T,68454,128140,,52.05894,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/18/20,8/27/20,Morning Consult,797,lv,0.1060062,0,52,52.02109,53.07147,T,68453,128139,,53.07147,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/17/20,8/26/20,Morning Consult,797,lv,0.1045779,0,52,52.02109,53.07894,T,68452,128138,,53.07894,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/16/20,8/25/20,Morning Consult,797,lv,0.1018256,0,51,51.02111,52.08689,T,68451,128137,,52.08689,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/15/20,8/24/20,Morning Consult,797,lv,0.0997776,0,50,50.02111,51.09373,T,68450,128136,,51.09373,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/14/20,8/23/20,Morning Consult,797,lv,0.0988377,0,51,51.02111,52.09334,T,68449,128135,,52.09334,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/13/20,8/22/20,Morning Consult,797,lv,0.09897,0,50,50.02111,51.08735,T,68448,128134,,51.08735,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/12/20,8/21/20,Morning Consult,797,lv,0.0996443,0,50,50.02111,51.08032,T,68447,128133,,51.08032,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/11/20,8/20/20,Morning Consult,797,lv,0.0816102,0,51,51.02111,52.0354,T,68446,128132,,52.0354,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/10/20,8/19/20,Morning Consult,797,lv,0.0736669,0,51,51.02111,52.01268,T,68445,128131,,52.01268,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/9/20,8/18/20,Morning Consult,797,lv,0.0673673,0,50,50.02111,51.00076,T,68444,128130,,51.00076,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/8/20,8/17/20,Morning Consult,797,lv,0.0614905,0,48,48.02109,49.00626,T,68443,128129,,49.00626,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/6/20,8/15/20,Morning Consult,797,lv,0.1188581,0,50,50.02111,51.01606,T,68442,128128,,51.01606,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/5/20,8/14/20,Morning Consult,797,lv,0.0606886,0,50,50.02111,51.02016,T,68441,128127,,51.02016,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/4/20,8/13/20,Morning Consult,797,lv,0.0622164,0,50,50.02111,51.0284,T,68440,128126,,51.0284,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/3/20,8/12/20,Morning Consult,797,lv,0.0640378,0,50,50.02111,51.04054,T,68439,128125,,51.04054,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/2/20,8/11/20,Morning Consult,797,lv,0.0692774,0,50,50.02111,51.0746,T,68438,128124,,51.0746,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,8/1/20,8/10/20,Morning Consult,797,lv,0.0710519,0,50,50.02111,51.0864,T,68437,128123,,51.0864,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/31/20,8/9/20,Morning Consult,797,lv,0.0729338,0,50,50.02111,51.09755,T,68436,128122,,51.09755,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/30/20,8/8/20,Morning Consult,797,lv,0.0752298,0,51,51.02111,52.10684,T,68435,128121,,52.10684,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/29/20,8/7/20,Morning Consult,797,lv,0.0776976,0,51,51.02111,52.11745,T,68434,128120,,52.11745,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/28/20,8/6/20,Morning Consult,797,lv,0.0774249,0,51,51.02111,52.13028,T,68433,128119,,52.13028,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/27/20,8/5/20,Morning Consult,797,lv,0.0768542,0,51,51.02111,52.14703,T,68432,128118,,52.14703,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/26/20,8/4/20,Morning Consult,797,lv,0.076313,0,51,51.02111,52.16102,T,68431,128117,,52.16102,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/25/20,8/3/20,Morning Consult,797,lv,0.0757846,0,51,51.02111,52.17309,T,68430,128116,,52.17309,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/24/20,8/2/20,Morning Consult,797,lv,0.075286,0,52,52.02109,53.1846,T,68429,128115,,53.1846,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/23/20,8/1/20,Morning Consult,797,lv,0.0750908,0,51,51.02111,52.19931,T,68428,128114,,52.19931,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/22/20,7/31/20,Morning Consult,797,lv,0.0752086,0,50,50.02111,51.2142,T,68427,128113,,51.2142,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/21/20,7/30/20,Morning Consult,797,lv,0.0753291,0,51,51.02111,52.22866,T,68426,128112,,52.22866,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/20/20,7/29/20,Morning Consult,797,lv,0.0754711,0,50,50.02111,51.24417,T,68425,128111,,51.24417,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/19/20,7/28/20,Morning Consult,797,lv,0.0756168,0,50,50.02111,51.25863,T,68424,128110,,51.25863,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/18/20,7/27/20,Morning Consult,797,lv,0.0755929,0,50,50.02111,51.27146,T,68423,128109,,51.27146,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/16/20,7/25/20,Morning Consult,797,lv,0.0755163,0,49,49.02111,50.29421,T,68422,128108,,50.29421,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/15/20,7/24/20,Morning Consult,797,lv,0.0754831,0,49,49.02111,50.30376,T,68421,128107,,50.30376,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/14/20,7/23/20,Morning Consult,797,lv,0.0754502,0,48,48.02109,49.31298,T,68420,128106,,49.31298,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/13/20,7/22/20,Morning Consult,797,lv,0.0754361,0,47,47.02106,48.32262,T,68419,128105,,48.32262,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/12/20,7/21/20,Morning Consult,797,lv,0.0754408,0,48,48.02109,49.33364,T,68418,128104,,49.33364,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/11/20,7/20/20,Morning Consult,797,lv,0.0754454,0,48,48.02109,49.34187,T,68417,128103,,49.34187,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/10/20,7/19/20,Morning Consult,797,lv,0.0754501,0,48,48.02109,49.35326,T,68416,128102,,49.35326,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/9/20,7/18/20,Morning Consult,797,lv,0.0754548,0,49,49.02111,50.36535,T,68415,128101,,50.36535,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/8/20,7/17/20,Morning Consult,797,lv,0.0754595,0,48,48.02109,49.37391,T,68414,128100,,49.37391,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/7/20,7/16/20,Morning Consult,797,lv,0.0754642,0,49,49.02111,50.37873,T,68413,128099,,50.37873,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/6/20,7/15/20,Morning Consult,797,lv,0.0754688,0,49,49.02111,50.38038,T,68412,128098,,50.38038,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/5/20,7/14/20,Morning Consult,797,lv,0.0754691,0,50,50.02111,51.38206,T,68411,128097,,51.38206,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/4/20,7/13/20,Morning Consult,797,lv,0.0754694,0,50,50.02111,51.38162,T,68410,128096,,51.38162,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/3/20,7/12/20,Morning Consult,797,lv,0.0754697,0,50,50.02111,51.37983,T,68409,128095,,51.37983,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/2/20,7/11/20,Morning Consult,797,lv,0.07547,0,50,50.02111,51.37716,T,68408,128094,,51.37716,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,7/1/20,7/10/20,Morning Consult,797,lv,0.0754702,0,51,51.02111,52.37405,T,68407,128093,,52.37405,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/30/20,7/9/20,Morning Consult,797,lv,0.0754705,0,50,50.02111,51.36805,T,68406,128092,,51.36805,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/29/20,7/8/20,Morning Consult,797,lv,0.0754708,0,51,51.02111,52.3513,T,68405,128091,,52.3513,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/28/20,7/7/20,Morning Consult,797,lv,0.0754711,0,51,51.02111,52.3459,T,68404,128090,,52.3459,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/27/20,7/6/20,Morning Consult,797,lv,0.0754714,0,50,50.02111,51.3339,T,68403,128089,,51.3339,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/26/20,7/5/20,Morning Consult,797,lv,0.0754716,0,51,51.02111,52.32255,T,68402,128088,,52.32255,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/25/20,7/4/20,Morning Consult,797,lv,0.0754716,0,50,50.02111,51.31264,T,68401,128087,,51.31264,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/24/20,7/3/20,Morning Consult,797,lv,0.0754716,0,50,50.02111,51.30416,T,68400,128086,,51.30416,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/23/20,7/2/20,Morning Consult,797,lv,0.0754716,0,50,50.02111,51.29538,T,68399,128085,,51.29538,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/22/20,7/1/20,Morning Consult,797,lv,0.0754716,0,49,49.02111,50.28414,T,68398,128084,,50.28414,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/21/20,6/30/20,Morning Consult,797,lv,0.0754716,0,49,49.02111,50.27639,T,68397,128083,,50.27639,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/20/20,6/29/20,Morning Consult,797,lv,0.0754716,0,48,48.02109,49.2664,T,68396,128082,,49.2664,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/19/20,6/28/20,Morning Consult,797,lv,0.0754716,0,49,49.02111,50.2596,T,68395,128081,,50.2596,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/18/20,6/27/20,Morning Consult,797,lv,0.0754716,0,49,49.02111,50.25644,T,68394,128080,,50.25644,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/17/20,6/26/20,Morning Consult,797,lv,0.0754716,0,48,48.02109,49.25988,T,68393,128079,,49.25988,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/16/20,6/25/20,Morning Consult,797,lv,0.0754716,0,49,49.02111,50.26982,T,68392,128078,,50.26982,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/15/20,6/24/20,Morning Consult,797,lv,0.0754716,0,50,50.02111,51.27789,T,68391,128077,,51.27789,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/14/20,6/23/20,Morning Consult,797,lv,0.0754716,0,49,49.02111,50.28712,T,68390,128076,,50.28712,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/13/20,6/22/20,Morning Consult,797,lv,0.0754716,0,49,49.02111,50.3026,T,68389,128075,,50.3026,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/12/20,6/21/20,Morning Consult,797,lv,0.0754716,0,49,49.02111,50.31712,T,68388,128074,,50.31712,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/11/20,6/20/20,Morning Consult,797,lv,0.0754716,0,48,48.02109,49.33111,T,68387,128073,,49.33111,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/10/20,6/19/20,Morning Consult,797,lv,0.0754716,0,48,48.02109,49.34626,T,68386,128072,,49.34626,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/9/20,6/18/20,Morning Consult,797,lv,0.0754716,0,48,48.02109,49.36654,T,68385,128071,,49.36654,
2020,Wisconsin,10/21/20,Joseph R. Biden Jr.,6/8/20,6/17/20,Morning Consult,797,lv,0.0754716,0,48,48.02109,49.38466,T,68384,128070,,49.38466,
